url,name,ingredients,description
https://www.povarenok.ru/recipes/show/164365/,Густой молочно-клубничный коктейль,"{'Молоко': '250 мл', 'Клубника': '200 г', 'Сахар': '15 г'}","Этот коктейль готовлю из замороженной клубники. Если клубника свежая, то добавляю перепелиное яйцо, благодаря этому коктейль получается устойчиво густым."
https://www.povarenok.ru/recipes/show/1306/,Рулетики,"{'Сыр твердый': None, 'Чеснок': None, 'Яйцо куриное': None, 'Грейпфрут': None, 'Лук зеленый': None, 'Листья салата': None, 'Майонез': None}",Быстро и вкусно.
https://www.povarenok.ru/recipes/show/10625/,"Салат ""Баклажанчик""","{'Баклажан': '3 шт', 'Лук репчатый': '2 шт', 'Помидор': '2 шт', 'Чеснок': '1 зуб.', 'Соль': None, 'Майонез': None, 'Перец черный': None}","Сытный, овощной салатик, пальчики оближете."
https://www.povarenok.ru/recipes/show/167337/,Куриные котлеты с картофельным пюре в духовке,"{'Фарш куриный': '800 г', 'Пюре картофельное': '1 кг', 'Желток яичный': '1 шт', 'Лук репчатый': '1 шт', 'Сыр твердый': '150 г', 'Молоко': '50 мл', 'Масло сливочное': '30 г', 'Зелень': '0,5 пуч.', 'Приправа': '1,5 ч. л.', 'Масло растительное': '5 ст. л.'}","Картофельное пюре и куриные котлеты - вкусная классика в кулинарной книге каждой хозяйки. Сегодня я предлагаю вам рецепт нежнейшего картофельного пюре, пропитанного соком котлет, ароматами специй и вкусом зелени вместе с сыром и куриными котлетами."
https://www.povarenok.ru/recipes/show/91919/,Рецепт вишневой наливки,"{'Вишня': '1 кг', 'Водка': '1 л', 'Сахар': '300 г', 'Кости': '50 г', 'Корица': '8 г', 'Гвоздика': '3 шт'}","Вишневая наливка имеет яркий вишневый вкус, который подчеркивает миндальный аромат косточки и гвоздики. Крепость примерно 25%, спиртовой тон во вкусе не чувствуется"
https://www.povarenok.ru/recipes/show/167765/,Песочный пирог с тыквенным суфле,"{'Масло сливочное': '100 г', 'Сахар': '50 г', 'Яйцо куриное': '1 шт', 'Мука пшеничная': '200 г', 'Вода': '1 ст. л.', 'Тыква': '250 г', 'Молоко сгущенное': '0.5 бан.', 'Корица': '0.5 ч. л.', 'Орех мускатный': '0.25 ч. л.', 'Крахмал': '0.5 ст. л.', 'Сахарная пудра': None}","Ароматное тыквенное суфле на песочном тесте. Просто, вкусно, совсем по-осеннему!"
https://www.povarenok.ru/recipes/show/100230/,Шоколадные конфеты ручной работы,"{'Какао-масло': '100 г', 'Какао тертое': '200 г', 'Сироп кленовый': '100 г', 'Ваниль': '0,5 шт'}","Конечно, купить в магазине готовые шоколадные конфеты намного проще, но вкусный домашний шоколад, приготовленный с любовью, никому не позволит остаться равнодушным. Конфеты ручной работы – это очень, очень вкусно, душевно и совсем несложно. А еще это увлекательный досуг для взрослых и детей и оригинальный подарок, который я хочу преподнести всем вам с поздравлениями с наступающими, любимыми всеми праздниками и пожеланиями всего самого - самого светлого и исполнения всех ваших мечтаний!"
https://www.povarenok.ru/recipes/show/96257/,Рыбно-тыквенный гратен,"{'Масло растительное': '3 ст. л.', 'Рыба': '400 г', 'Тыква': '100 г', 'Лук репчатый': '1 шт', 'Мука пшеничная': '3 ст. л.', 'Молоко': '300 мл', 'Сливки': '90 мл', 'Масло сливочное': '40 г', 'Сыр голландский': '75 г', 'Вино белое полусухое': '50 мл', 'Соль': None, 'Перец черный': None}","Этот рецепт горячей закуски чем то отдаленно напоминает всем известный жюльен. И чем особенно хорош, так это тем, что основной ингредиент может быть абсолютно любой. Сегодня я хочу предложить не совсем обычное сочетание рыбы и тыквы. Но не пугайтесь, все прекрасно сочетается и дополняет друг друга. А тот кто не знает из чего он сделан, никогда не догадается о присутствие тыквы."
https://www.povarenok.ru/recipes/show/139360/,"Плов с креветками из риса ""Басмати""","{'Рис': '2 стак.', 'Вода': '4 стак.', 'Морковь': '1 шт', 'Лук репчатый': '2 шт', 'Морепродукты': '500 г', 'Карри': '1 ст. л.', 'Приправа': '1 ст. л.', 'Соль': 'по вкусу', 'Масло подсолнечное': 'по вкусу'}",Плов с креветками из риса Basmati. Очень вкусный и полезный обед или ужин.
https://www.povarenok.ru/recipes/show/96774/,Молочное мороженое,"{'Молоко': '450 г', 'Желток яичный': '3 шт', 'Сахар': '90 г'}",Рецепт вкусного мороженого из молока. Подробнее в видео ниже
